town_name,DIST_NAME,score,,,,,,
Ocean Bluff-Brant Rock,Norfolk County Agricultural,0,,,,,,
Cordaville,Somerville,0,,,,,,
Great Barrington,Arlington,0,,,,,,
Turners Falls,Fall River,0,,,,,,
South Deerfield,North Brookfield,0,,,,,,
Deerfield,Greenfield,0,,,,,,
Nahant,Ashland,0,,,,,,
North Falmouth,Falmouth,100,,,,,,
Chatham,Waltham,0,,,,,,
West Chatham,Ashburnham-Westminster,0,,,,,,
West Falmouth,Falmouth,100,,,,,,
Monomoscoy Island,Mashpee,100,,,,,,
Popponesset,Cohasset,0,,,,,,
Seconsett Island,Swampscott,0,,,,,,
New Seabury,Tewksbury,0,,,,,,
Popponesset Island,Old Rochester,0,,,,,,
Brewster,Worcester,0,,,,,,
Woods Hole,Norwood,0,,,,,,
Essex,Chelsea,0,,,,,,
South Duxbury,Duxbury,100,,,,,,
Cedar Crest,East Bridgewater,0,,,,,,
South Ashburnham,Ashburnham-Westminster,100,,,,,,
Rutland,Rockland,0,,,,,,
Upton,Sutton,0,,,,,,
Vineyard Haven,Martha's Vineyard,0,,,,,,
Baldwinville,Blackstone-Millville,0,,,,,,
Shelburne Falls,Fall River,0,,,,,,
Green Harbor,Dover-Sherborn,0,,,,,,
Chester,Winchester,0,,,,,,
Blandford,Bedford,0,,,,,,
East Douglas,Douglas,100,,,,,,
West Brookfield,North Brookfield,100,,,,,,
Barre,Ware,0,,,,,,
Spencer,Pentucket,0,,,,,,
Edgartown,Easton,0,,,,,,
Madaket,Malden,0,,,,,,
Siasconset,Masconomet,0,,,,,,
Petersham,Needham,0,,,,,,
