Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2018:Q1,Next9,37276899,40116702,8238915,949694,8336201,11777268,3686877,7127747,2839802,2304208,312582,223012
2018:Q2,Next9,37890723,40773256,8441467,943899,8487188,11917287,3773789,7209626,2882532,2344061,319044,219427
2018:Q3,Next9,38684399,41624289,8589873,916837,8876630,12128954,3754657,7357337,2939889,2385785,333927,220177
2018:Q4,Next9,37383416,40309670,8631064,1002321,7556706,11777352,3897234,7444992,2926254,2421011,305795,199447
2019:Q1,Next9,38976382,41917969,8792206,943217,8521927,12187263,3905455,7567901,2941586,2421489,329199,190899
2019:Q2,Next9,39598218,42593331,8938325,929483,8781124,12381218,3975120,7588061,2995113,2451639,337942,205532
1989:Q3,Top1,4879833,5000935,592879,356499,980684,393767,1336370,1340736,121102,74295,25879,20929
1989:Q4,Top1,5036594,5165964,626944,354643,1002181,411651,1380338,1390206,129370,79754,26001,23615
1990:Q1,Top1,5053649,5187410,663439,344790,941025,415850,1391787,1430519,133761,82740,25484,25537
1990:Q2,Top1,5148789,5285521,689848,344817,987786,431066,1398654,1433349,136732,85490,24171,27071
1990:Q3,Top1,5002263,5147296,700856,325655,809703,424302,1376632,1510147,145033,89722,26506,28805
1990:Q4,Top1,5231075,5384363,732850,321252,896824,440325,1426763,1566347,153288,97138,25362,30787
1991:Q1,Top1,5485909,5645218,741484,324511,1021655,464590,1500416,1592561,159309,104439,22151,32720
1991:Q2,Top1,5455492,5617872,752439,315755,1016362,484422,1476971,1571923,162380,107359,21656,33365
1991:Q3,Top1,5555433,5714953,779541,306641,1092358,512571,1467117,1556725,159520,106260,19794,33467
1991:Q4,Top1,5789519,5948742,771639,302797,1289489,536251,1493229,1555336,159223,107260,18018,33945
1992:Q1,Top1,5744868,5899075,811414,293236,1257894,541329,1466002,1529201,154207,102761,16327,35120
1992:Q2,Top1,5718340,5868958,861403,285135,1270393,561233,1406180,1484614,150619,100449,14570,35600
1992:Q3,Top1,5730695,5884019,872910,270336,1337206,586994,1364213,1452360,153324,103333,13638,36353
1992:Q4,Top1,6049799,6205753,873333,280916,1510161,579314,1431234,1530794,155954,105655,13285,37014
1993:Q1,Top1,6259043,6416140,884541,299809,1574206,590408,1488740,1578436,157097,108301,11612,37185
1993:Q2,Top1,6367345,6528604,871494,304215,1604656,586566,1525622,1636052,161259,111703,11929,37626
1993:Q3,Top1,6531489,6699416,864499,308600,1694529,587724,1558201,1685862,167927,117853,12475,37600
1993:Q4,Top1,6740705,6912783,863718,316491,1785243,580058,1598290,1768983,172078,121551,13091,37436
1994:Q1,Top1,6761792,6942273,868970,323181,1717934,571926,1603155,1857108,180480,128353,13906,38222
1994:Q2,Top1,6824941,7008833,879182,328634,1720396,580368,1594917,1905335,183892,130619,14489,38784
1994:Q3,Top1,6969657,7156386,889239,333882,1786970,588903,1608902,1948491,186729,133147,14450,39132
1994:Q4,Top1,7120405,7309899,920394,337060,1811318,577190,1612705,2051232,189494,134790,15690,39014
1995:Q1,Top1,7386392,7578585,916020,349202,1973588,603551,1661722,2074502,192193,139085,13521,39587
1995:Q2,Top1,7629568,7826545,854716,354892,2135085,622288,1739873,2119691,196977,144232,12585,40160
1995:Q3,Top1,7991595,8189371,807646,361804,2327900,641428,1862653,2187941,197776,146339,11588,39849
1995:Q4,Top1,8124867,8337629,825079,360708,2456275,665498,1815961,2214109,212762,154519,13647,44596
1996:Q1,Top1,8192348,8415647,835923,360992,2509894,682093,1789741,2237003,223299,163033,14424,45843
1996:Q2,Top1,8246516,8478850,885210,355926,2574902,693815,1744323,2224673,232334,166431,15719,50184
1996:Q3,Top1,8235766,8476567,922643,351165,2561455,709677,1706047,2225580,240800,169488,17298,54015
1996:Q4,Top1,8480786,8730273,943956,356042,2704205,759274,1727233,2239564,249487,175418,17753,56316
1997:Q1,Top1,8455821,8713454,954210,352960,2686952,764690,1779541,2175102,257634,179273,17914,60446
1997:Q2,Top1,8980271,9240802,973807,362473,3151498,821847,1822197,2108981,260531,182452,14699,63381
1997:Q3,Top1,9355118,9618547,962963,362003,3444949,864540,1868140,2115952,263429,184953,14498,63978
1997:Q4,Top1,9496863,9766573,972358,361678,3462781,861310,1930845,2177600,269709,185535,15267,68907
1998:Q1,Top1,10151273,10418949,981210,371848,3927024,917480,2064654,2156734,267676,185066,10796,71814
1998:Q2,Top1,10366106,10642481,1041219,367071,4022776,928314,2053372,2229728,276375,189126,12297,74953
1998:Q3,Top1,9953462,10242237,1062140,330364,3501698,888699,1993522,2465814,288775,189955,19078,79743
1998:Q4,Top1,10745260,11034162,1112197,386046,4121423,944834,2182807,2286855,288902,198893,11582,78427
1999:Q1,Top1,10738598,11034538,1142009,407648,4104342,956268,2199058,2225215,295940,207827,9394,78719
1999:Q2,Top1,11067632,11368293,1178167,438123,4421441,978527,2263523,2088512,300661,216690,6810,77161
1999:Q3,Top1,10861567,11171460,1211249,435889,4125290,959788,2266117,2173127,309892,222377,10556,76959
1999:Q4,Top1,11988451,12287256,1266696,479516,5025645,1013451,2427637,2074311,298805,221921,3191,73694
2000:Q1,Top1,12366977,12655527,1327586,497133,5318742,1030504,2437146,2044416,288550,219270,112,69168
2000:Q2,Top1,12021536,12318442,1410868,504834,4941560,1013240,2399031,2048909,296906,224354,1968,70585
2000:Q3,Top1,12197154,12498918,1456209,510676,4865842,1003721,2523062,2139408,301764,228534,3270,69961
2000:Q4,Top1,11725635,12049618,1537905,510793,4129801,952936,2533650,2384533,323983,239583,9258,75142
2001:Q1,Top1,11331283,11671260,1688239,501753,3491934,867841,2517569,2603924,339977,247658,15505,76814
2001:Q2,Top1,11645326,11998958,1724248,522186,3732336,853482,2626919,2539785,353632,262066,14768,76797
2001:Q3,Top1,11018052,11376854,1763679,505155,2969706,763740,2572164,2802411,358802,261231,22139,75431
2001:Q4,Top1,11694325,12090465,1869803,523367,3475124,780291,2645951,2795929,396140,291512,22164,82464
2002:Q1,Top1,11879746,12284914,1972493,526015,3541723,796726,2637443,2810513,405168,297149,21325,86693
2002:Q2,Top1,11444494,11869536,2037670,507449,3187943,743827,2554733,2837914,425042,306488,29331,89223
2002:Q3,Top1,10831599,11292426,2074494,480809,2563054,681508,2477083,3015479,460826,324326,40088,96412
2002:Q4,Top1,11342265,11819241,2155491,489117,2787645,691569,2565346,3130074,476976,339400,39239,98337
2003:Q1,Top1,11323093,11824329,2263670,489118,2627318,687309,2625203,3131711,501237,355940,41241,104055
2003:Q2,Top1,12187541,12698097,2374202,509920,3217383,738585,2747392,3110615,510556,369411,37338,103807
2003:Q3,Top1,12555962,13073892,2458136,512806,3451745,739669,2831103,3080433,517930,373642,37384,106904
2003:Q4,Top1,13308165,13873924,2448603,531410,3995722,779896,2958146,3160147,565759,392084,34898,138777
2004:Q1,Top1,14278349,14860232,2658335,539220,4211877,785969,3096102,3568730,581883,404219,34508,143155
2004:Q2,Top1,14523233,15116288,2742698,541329,4175330,784106,3358385,3514440,593056,409143,34740,149172
2004:Q3,Top1,14865959,15473729,2765863,544129,4193598,782118,3609528,3578493,607770,423571,38295,145904
2004:Q4,Top1,15817419,16410328,2890038,556219,4659290,873371,3711460,3719950,592909,421663,35564,135682
2005:Q1,Top1,15922562,16526928,2988585,552711,4662565,896930,3714274,3711865,604366,440440,38705,125221
2005:Q2,Top1,16363049,16971773,3008311,559732,4795970,946104,3849584,3812071,608724,443051,39583,126090
2005:Q3,Top1,16922628,17528767,3062017,562017,5099434,1002662,4014192,3788445,606139,443668,39993,122478
2005:Q4,Top1,17440218,18041995,3149016,562670,5187357,1057102,4157437,3928413,601777,438486,40212,123079
2006:Q1,Top1,18210018,18803695,3049022,574818,5900246,1110494,4210683,3958431,593677,431904,38643,123131
2006:Q2,Top1,18097430,18695881,3094680,569496,5709781,1140460,4220075,3961390,598451,432481,41619,124352
2006:Q3,Top1,18549152,19146346,3118934,576292,5892140,1199278,4332777,4026925,597194,432110,43487,121597
2006:Q4,Top1,19189891,19782261,3063924,588976,6386314,1272301,4440465,4030282,592370,429485,42237,120649
2007:Q1,Top1,19485632,20060805,2939837,594727,6684743,1320771,4441986,4078740,575173,419101,43203,112870
2007:Q2,Top1,19757506,20319248,2888752,609216,6967252,1402938,4448140,4002950,561742,417063,41676,103002
2007:Q3,Top1,20090003,20658371,2907364,612262,6978566,1462263,4432353,4265563,568368,417677,46078,104614
2007:Q4,Top1,19901854,20478718,2817622,607870,6567840,1431431,4365015,4688939,576864,418729,51635,106499
2008:Q1,Top1,18962447,19548136,2619413,586309,5916717,1350877,4066145,5008675,585689,416799,60202,108689
2008:Q2,Top1,18416086,18984678,2607072,575169,5688460,1339408,3839873,4934697,568592,396441,61276,110875
2008:Q3,Top1,17610545,18206439,2657365,558215,4898185,1263791,3689705,5139178,595894,411207,71176,113511
2008:Q4,Top1,16133639,16775429,2529746,517935,3685321,1113736,3305256,5623435,641791,419492,84389,137909
2009:Q1,Top1,15124849,15787528,2283761,498802,3221312,1072801,3033958,5676892,662679,432510,90326,139843
2009:Q2,Top1,15728970,16373832,2334546,511741,4049827,1174812,2831531,5471374,644862,420957,83744,140160
2009:Q3,Top1,16509521,17159060,2429567,524828,4869069,1278690,2745308,5311598,649539,426943,81203,141393
2009:Q4,Top1,17122455,17764863,2421288,534348,5046679,1322350,2749397,5690801,642408,423472,80273,138663
2010:Q1,Top1,17303656,17950762,2486842,537362,5308983,1386856,2780724,5449995,647106,418203,77332,151571
2010:Q2,Top1,17015827,17657923,2529488,510934,4812395,1361747,2876249,5567110,642097,407936,82497,151663
2010:Q3,Top1,17877331,18510687,2409360,520343,5490151,1471962,3005027,5613845,633356,405197,80906,147253
2010:Q4,Top1,18839192,19465587,2378640,551596,6023401,1517140,3141342,5853467,626396,401827,77706,146863
2011:Q1,Top1,19226449,19833470,2472398,573175,6417276,1525089,3216277,5629255,607021,388765,73030,145226
2011:Q2,Top1,19515788,20119344,2577526,587883,6389579,1498972,3266336,5799048,603556,385446,70846,147264
2011:Q3,Top1,18383541,18998072,2492607,564236,5284251,1369223,3211961,6075795,614531,379172,79145,156214
2011:Q4,Top1,19090542,19701685,2417187,594005,5676439,1390171,3355526,6268357,611142,377612,73171,160360
2012:Q1,Top1,19857567,20444601,2446776,631576,6443987,1443272,3475824,6003165,587034,363088,63990,159956
2012:Q2,Top1,19695205,20283779,2563267,630770,6162779,1384991,3501884,6040089,588574,358577,64210,165787
2012:Q3,Top1,20510580,21102787,2576784,649426,6556909,1396080,3676658,6246930,592208,364089,61834,166284
2012:Q4,Top1,20873374,21438751,2609026,656524,6603525,1370875,3735179,6463623,565377,344793,58800,161785
2013:Q1,Top1,21877259,22474589,2761402,689598,7406039,1425452,3870957,6321140,597330,376099,55807,165424
2013:Q2,Top1,22002093,22594058,2851935,701661,7462057,1423342,4042006,6113057,591965,373073,51521,167371
2013:Q3,Top1,23017499,23602857,2948763,716952,7914478,1467685,4258653,6296326,585357,368525,49020,167813
2013:Q4,Top1,24102701,24693520,3044986,739601,8515214,1592226,4542733,6258760,590819,379447,47515,163857
2014:Q1,Top1,24612947,25215159,3118782,744751,8881300,1633240,4591509,6245579,602213,384045,51821,166347
2014:Q2,Top1,25351382,25953082,3141054,757617,9420656,1691228,4738661,6203865,601700,387323,52393,161984
2014:Q3,Top1,25366846,25979249,3198461,762631,9224531,1698230,4946672,6148724,612403,392225,59233,160944
2014:Q4,Top1,26363414,26985301,3258911,778465,9585778,1737959,5214386,6409802,621887,399843,60558,161486
2015:Q1,Top1,27011768,27652089,3330355,783081,9911765,1774606,5423870,6428413,640321,411458,65965,162897
2015:Q2,Top1,27009050,27660502,3369525,788461,9894583,1787134,5559199,6261600,651452,418475,70950,162027
2015:Q3,Top1,26349083,27025755,3418270,766452,9014230,1737382,5621710,6467712,676672,424645,84238,167790
2015:Q4,Top1,27227923,27903942,3491447,784156,9406901,1790554,5785335,6645549,676020,430427,80124,165469
2016:Q1,Top1,27368023,28063679,3545323,792556,9457108,1823357,5802976,6642358,695656,442219,85130,168307
2016:Q2,Top1,27733025,28446077,3595863,806278,9751151,1862170,5943743,6486872,713052,454822,88670,169560
2016:Q3,Top1,28642859,29366837,3637877,810864,10199017,1916628,6152638,6649813,723979,461794,93373,168811
2016:Q4,Top1,29367300,30091667,3735959,821074,10517258,1913771,6248258,6855347,724367,460720,92577,171070
2017:Q1,Top1,30105774,30825510,3841860,844543,11029297,1965120,6343599,6801090,719736,456968,89210,173557
2017:Q2,Top1,30638127,31356731,3806767,852863,11433114,1998138,6536907,6728942,718604,457064,88172,173368
2017:Q3,Top1,31449391,32168234,3853536,866235,11941550,2037642,6697723,6771547,718843,454987,87898,175957
2017:Q4,Top1,32622204,33331124,3932050,888051,12615731,2083138,6940664,6871490,708920,451235,83879,173807
2018:Q1,Top1,32532074,33237940,3902036,888541,12515635,2076548,6935577,6919604,705867,443707,85710,176449
2018:Q2,Top1,33046374,33749825,3869934,902540,12776821,2100788,7157060,6942681,703451,441851,83448,178152
2018:Q3,Top1,33797427,34498894,3883696,933494,13426095,2137507,7236036,6882066,701467,440488,80260,180719
